282959365 	Sep/26/2024 00:04UTC+5.5 	oreothicc 	D - Three Activities 	Java 21 	Wrong answer on test 1 	186 ms 	0 KB
282958573 	Sep/25/2024 23:57UTC+5.5 	oreothicc 	C - Quests 	Java 21 	Accepted 	843 ms 	1000 KB
282958106 	Sep/25/2024 23:53UTC+5.5 	oreothicc 	B - Preparing for the Contest 	Java 21 	Accepted 	374 ms 	1200 KB
282957299 	Sep/25/2024 23:46UTC+5.5 	oreothicc 	A - Problemsolving Log 	Java 21 	Accepted 	249 ms 	400 KB
282957057 	Sep/25/2024 23:44UTC+5.5 	oreothicc 	C - Game with Multiset 	Java 21 	Runtime error on test 1 	296 ms 	0 KB
282956712 	Sep/25/2024 23:41UTC+5.5 	oreothicc 	B - Swap and Delete 	Java 21 	Accepted 	265 ms 	700 KB
282956434 	Sep/25/2024 23:39UTC+5.5 	oreothicc 	B - Swap and Delete 	Java 21 	Wrong answer on test 1 	156 ms 	300 KB
282954537 	Sep/25/2024 23:23UTC+5.5 	oreothicc 	A - Rating Increase 	Java 21 	Accepted 	327 ms 	400 KB
282953318 	Sep/25/2024 23:12UTC+5.5 	oreothicc 	A - Rating Increase 	Java 21 	Wrong answer on test 1 	187 ms 	0 KB
282085832 	Sep/20/2024 21:35UTC+5.5 	oreothicc 	A - Lucky Division 	Java 21 	Accepted 	560 ms 	600 KB
282033501 	Sep/20/2024 20:25UTC+5.5 	oreothicc 	B - Lucky Substring 	Java 21 	Wrong answer on test 1 	374 ms 	100 KB
282023602 	Sep/20/2024 20:17UTC+5.5 	oreothicc 	A - New Year Garland 	Java 21 	Accepted 	342 ms 	800 KB
282003887 	Sep/20/2024 19:53UTC+5.5 	oreothicc 	A - Display The Number 	Java 21 	Accepted 	265 ms 	500 KB
282003263 	Sep/20/2024 19:48UTC+5.5 	oreothicc 	A - Array with Odd Sum 	Java 21 	Accepted 	328 ms 	700 KB
282002043 	Sep/20/2024 19:35UTC+5.5 	oreothicc 	A - Three Strings 	Java 21 	Accepted 	343 ms 	800 KB
282001715 	Sep/20/2024 19:32UTC+5.5 	oreothicc 	A - cAPS lOCK 	Java 21 	Accepted 	327 ms 	1100 KB
281998950 	Sep/20/2024 19:04UTC+5.5 	oreothicc 	A - Divisibility Problem 	Java 21 	Accepted 	390 ms 	600 KB
281998421 	Sep/20/2024 18:59UTC+5.5 	oreothicc 	A - Add Odd or Subtract Even 	Java 21 	Accepted 	343 ms 	1000 KB
281998107 	Sep/20/2024 18:57UTC+5.5 	oreothicc 	A - Three Piles of Candies 	Java 21 	Accepted 	327 ms 	800 KB
281776795 	Sep/18/2024 23:25UTC+5.5 	oreothicc 	B - Rebellion 	Java 21 	Accepted 	593 ms 	1200 KB
281775583 	Sep/18/2024 23:14UTC+5.5 	oreothicc 	A - The Ultimate Square 	Java 21 	Accepted 	358 ms 	1200 KB
281772463 	Sep/18/2024 22:54UTC+5.5 	oreothicc 	A - Medium Number 	Java 21 	Accepted 	296 ms 	1000 KB
281771150 	Sep/18/2024 22:44UTC+5.5 	oreothicc 	A - Sum 	Java 21 	Accepted 	296 ms 	1300 KB
281767855 	Sep/18/2024 22:18UTC+5.5 	oreothicc 	A - Rock-Paper-Scissors 	Java 21 	Wrong answer on test 1 	434 ms 	500 KB
281766553 	Sep/18/2024 22:08UTC+5.5 	oreothicc 	A - Mainak and Array 	Java 21 	Accepted 	374 ms 	1200 KB
281765525 	Sep/18/2024 22:00UTC+5.5 	oreothicc 	B - Deadly Laser 	Java 21 	Accepted 	406 ms 	1200 KB
281763733 	Sep/18/2024 21:45UTC+5.5 	oreothicc 	B - Mathematical Circus 	Java 21 	Accepted 	515 ms 	1100 KB
281761435 	Sep/18/2024 21:27UTC+5.5 	oreothicc 	A - Chip Game 	Java 21 	Accepted 	327 ms 	800 KB
281761171 	Sep/18/2024 21:25UTC+5.5 	oreothicc 	B - ICPC Balloons 	Java 21 	Accepted 	249 ms 	400 KB
281568368 	Sep/17/2024 12:11UTC+5.5 	oreothicc 	A - Plus One on the Subset 	Java 21 	Accepted 	1077 ms 	1000 KB
281567639 	Sep/17/2024 12:03UTC+5.5 	oreothicc 	A - Division? 	Java 21 	Accepted 	265 ms 	400 KB
281563840 	Sep/17/2024 11:23UTC+5.5 	oreothicc 	B - Triple 	Java 21 	Accepted 	890 ms 	7200 KB
281562396 	Sep/17/2024 11:06UTC+5.5 	oreothicc 	A - Odd Divisor 	Java 21 	Accepted 	327 ms 	1100 KB
281562039 	Sep/17/2024 11:01UTC+5.5 	oreothicc 	A - Arithmetic Array 	Java 21 	Accepted 	359 ms 	1200 KB
281561846 	Sep/17/2024 10:59UTC+5.5 	oreothicc 	A - Make Even 	Java 21 	Accepted 	280 ms 	800 KB
281561625 	Sep/17/2024 10:57UTC+5.5 	oreothicc 	A - Everyone Loves to Sleep 	Java 21 	Accepted 	281 ms 	500 KB
281561248 	Sep/17/2024 10:52UTC+5.5 	oreothicc 	A - Select Three Sticks 	Java 21 	Accepted 	312 ms 	1100 KB
281560561 	Sep/17/2024 10:43UTC+5.5 	oreothicc 	A - Joey Takes Money 	Java 21 	Accepted 	546 ms 	1200 KB
281560173 	Sep/17/2024 10:38UTC+5.5 	oreothicc 	A - Joey Takes Money 	Java 21 	Runtime error on test 1 	249 ms 	0 KB
281559540 	Sep/17/2024 10:28UTC+5.5 	oreothicc 	A - Select Three Sticks 	Java 21 	Runtime error on test 1 	233 ms 	300 KB
281559375 	Sep/17/2024 10:25UTC+5.5 	oreothicc 	A - Select Three Sticks 	Java 21 	Runtime error on test 1 	218 ms 	400 KB
281341090 	Sep/15/2024 16:19UTC+5.5 	oreothicc 	A - Colour the Flag 	Java 21 	Runtime error on test 1 	203 ms 	200 KB
281341046 	Sep/15/2024 16:19UTC+5.5 	oreothicc 	A - I_love_\%username\% 	Java 21 	Accepted 	530 ms 	1100 KB
281340792 	Sep/15/2024 16:16UTC+5.5 	oreothicc 	A - Arithmetic Array 	Java 21 	Runtime error on test 1 	202 ms 	0 KB
281340662 	Sep/15/2024 16:15UTC+5.5 	oreothicc 	A - Colour the Flag 	Java 21 	Runtime error on test 1 	234 ms 	200 KB
281340527 	Sep/15/2024 16:14UTC+5.5 	oreothicc 	A - Spy Detected! 	Java 21 	Accepted 	280 ms 	200 KB
281339982 	Sep/15/2024 16:09UTC+5.5 	oreothicc 	A - Spy Detected! 	Java 21 	Wrong answer on test 1 	171 ms 	0 KB
281339539 	Sep/15/2024 16:05UTC+5.5 	oreothicc 	A - Soft Drinking 	Java 21 	Accepted 	560 ms 	1100 KB
281339313 	Sep/15/2024 16:03UTC+5.5 	oreothicc 	A - Insomnia cure 	Java 21 	Accepted 	718 ms 	7100 KB
281339261 	Sep/15/2024 16:03UTC+5.5 	oreothicc 	A - Odd Divisor 	Java 21 	Runtime error on test 1 	281 ms 	900 KB
281338415 	Sep/15/2024 15:56UTC+5.5 	oreothicc 	A - Strange Partition 	Java 21 	Wrong answer on test 3 	374 ms 	1100 KB
